iter	Passed	Remaining
0	45	23374
1	86	22191
2	120	20578
3	156	19987
4	192	19664
5	226	19266
6	260	18923
7	296	18836
8	331	18696
9	369	18699
10	402	18488
11	434	18267
12	473	18319
13	512	18380
14	546	18250
15	583	18228
16	617	18123
17	658	18226
18	698	18258
19	731	18138
20	766	18073
21	799	17948
22	830	17800
23	863	17707
24	896	17614
25	931	17556
26	962	17428
27	997	17388
28	1030	17301
29	1062	17217
30	1097	17167
31	1131	17108
32	1165	17058
33	1199	17008
34	1232	16944
35	1267	16897
36	1299	16829
37	1338	16839
38	1372	16781
39	1404	16713
40	1438	16670
41	1475	16653
42	1509	16605
43	1542	16548
44	1580	16546
45	1614	16494
46	1646	16426
47	1681	16393
48	1712	16325
49	1752	16330
50	1787	16302
51	1824	16279
52	1861	16263
53	1898	16246
54	1932	16193
55	1968	16171
56	2005	16149
57	2044	16145
58	2077	16088
59	2113	16058
60	2146	16008
61	2184	15994
62	2221	15975
63	2260	15967
64	2297	15942
65	2331	15896
66	2372	15897
67	2406	15853
68	2440	15808
69	2470	15741
70	2506	15706
71	2540	15663
72	2574	15623
73	2607	15574
74	2644	15548
75	2673	15477
76	2706	15428
77	2741	15395
78	2777	15362
79	2809	15314
80	2845	15282
81	2878	15236
82	2902	15141
83	2940	15123
84	2977	15098
85	3010	15053
86	3052	15051
87	3085	15005
88	3120	14970
89	3158	14949
90	3192	14910
91	3224	14858
92	3261	14833
93	3295	14794
94	3331	14763
95	3364	14719
96	3396	14671
97	3429	14629
98	3453	14546
99	3485	14499
100	3520	14464
101	3554	14427
102	3590	14396
103	3629	14376
104	3659	14325
105	3692	14281
106	3730	14259
107	3760	14205
108	3796	14176
109	3833	14148
110	3869	14117
111	3902	14076
112	3938	14045
113	3972	14006
114	4005	13967
115	4038	13925
116	4058	13839
117	4095	13812
118	4124	13760
119	4154	13710
120	4196	13698
121	4231	13664
122	4267	13633
123	4299	13590
124	4335	13560
125	4374	13540
126	4411	13511
127	4451	13494
128	4484	13454
129	4505	13379
130	4540	13344
131	4577	13315
132	4609	13274
133	4645	13243
134	4680	13210
135	4715	13175
136	4736	13103
137	4774	13078
138	4802	13024
139	4838	12995
140	4873	12961
141	4909	12929
142	4945	12900
143	4981	12869
144	5013	12828
145	5048	12793
146	5088	12773
147	5123	12740
148	5161	12713
149	5196	12679
150	5230	12642
151	5264	12606
152	5296	12566
153	5330	12531
154	5370	12508
155	5403	12470
156	5436	12430
157	5469	12393
158	5497	12343
159	5535	12317
160	5567	12277
161	5602	12241
162	5624	12180
163	5659	12147
164	5694	12113
165	5728	12078
166	5767	12053
167	5799	12014
168	5834	11978
169	5869	11945
170	5905	11914
171	5942	11884
172	5977	11851
173	6013	11819
174	6039	11767
175	6074	11735
176	6109	11702
177	6135	11650
178	6173	11621
179	6210	11593
180	6244	11558
181	6283	11531
182	6316	11493
183	6353	11463
184	6385	11424
185	6408	11370
186	6440	11330
187	6477	11300
188	6511	11265
189	6545	11230
190	6580	11197
191	6622	11174
192	6659	11144
193	6693	11110
194	6725	11070
195	6755	11029
196	6788	10992
197	6824	10959
198	6867	10940
199	6900	10902
200	6933	10865
201	6966	10828
202	6992	10780
203	7025	10745
204	7045	10688
205	7079	10652
206	7115	10622
207	7154	10593
208	7189	10560
209	7212	10509
210	7252	10483
211	7287	10450
212	7321	10415
213	7360	10386
214	7395	10353
215	7431	10321
216	7466	10287
217	7502	10255
218	7537	10222
219	7572	10188
220	7608	10155
221	7642	10120
222	7675	10084
223	7709	10050
224	7740	10011
225	7778	9981
226	7825	9962
227	7872	9943
228	7916	9921
229	7958	9896
230	8002	9873
231	8039	9841
232	8074	9806
233	8112	9776
234	8136	9729
235	8169	9692
236	8203	9657
237	8237	9622
238	8276	9592
239	8317	9564
240	8353	9531
241	8389	9499
242	8426	9466
243	8450	9419
244	8487	9388
245	8520	9351
246	8555	9317
247	8590	9283
248	8633	9257
249	8673	9228
250	8709	9195
251	8745	9161
252	8782	9129
253	8818	9096
254	8853	9061
255	8897	9036
256	8936	9005
257	8972	8972
258	9011	8942
259	9045	8906
260	9084	8876
261	9122	8844
262	9159	8811
263	9198	8779
264	9234	8746
265	9271	8713
266	9307	8680
267	9342	8644
268	9376	8609
269	9411	8574
270	9432	8527
271	9469	8494
272	9507	8462
273	9527	8414
274	9560	8378
275	9581	8331
276	9617	8298
277	9652	8264
278	9690	8231
279	9723	8195
280	9758	8161
281	9794	8127
282	9826	8090
283	9861	8055
284	9899	8023
285	9932	7987
286	9958	7945
287	9993	7911
288	10028	7876
289	10062	7841
290	10097	7807
291	10129	7770
292	10163	7735
293	10197	7700
